10		10		10		10		10		10		10	
SP2 pH 5pt1 25pt2 CV Gradient TF26OCT2016A001:10_UV1_280nm		SP2 pH 5pt1 25pt2 CV Gradient TF26OCT2016A001:10_Cond		SP2 pH 5pt1 25pt2 CV Gradient TF26OCT2016A001:10_Conc		SP2 pH 5pt1 25pt2 CV Gradient TF26OCT2016A001:10_pH		SP2 pH 5pt1 25pt2 CV Gradient TF26OCT2016A001:10_Flow		SP2 pH 5pt1 25pt2 CV Gradient TF26OCT2016A001:10_Fractions		SP2 pH 5pt1 25pt2 CV Gradient TF26OCT2016A001:10_Logbook	
min	 mAU	min	 mS/cm	min	 %B	min	 	min	 ml/min	min	(Fractions)	min	(Set Marks)
  25.920	    0.368000	  24.367	    2.539000	  24.367	    0.000000	  24.367	    5.270000	  24.367	    6.430000	         	            	 153.993	 "Fractionation 18mm , 15.000  ml , FirstTube , Volume "
  26.240	    0.406000	  24.667	    2.461000	  24.667	    0.000000	  24.667	    5.250000	  24.667	    6.430000	         	            	 419.717	 "OutletValve WasteF1  (Manual)"
  26.560	    0.327000	  24.967	    2.393000	  24.967	    0.000000	  24.967	    5.240000	  24.967	    6.430000	         	            	 419.942	 "FractionationStop  (Manual)"
  26.880	    0.360000	  25.267	    2.333000	  25.267	    0.000000	  25.267	    5.240000	  25.267	    6.430000	         	            	 420.185	 "Stop Frac"
  27.200	    0.370000	  25.567	    2.282000	  25.567	    0.000000	  25.567	    5.230000	  25.567	    6.430000	         	            	 477.450	 "Next Break Point Advance"
  27.520	    0.337000	  25.867	    2.237000	  25.867	    0.000000	  25.867	    5.220000	  25.867	    6.430000	         	            	 477.450	 "Next Breakpoint (Manual)"
  27.840	    0.385000	  26.167	    2.196000	  26.167	    0.000000	  26.167	    5.220000	  26.167	    6.430000	         	            	 477.450	 "FractionationStop "
  28.160	    0.376000	  26.467	    2.162000	  26.467	    0.000000	  26.467	    5.210000	  26.467	    6.430000	         	            	 477.470	 "End Block"
  28.480	    0.376000	  26.767	    2.133000	  26.767	    0.000000	  26.767	    5.210000	  26.767	    6.430000	         	            	 477.470	 "Block Strip_1MNaCl"
  28.800	    0.351000	  27.067	    2.109000	  27.067	    0.000000	  27.067	    5.210000	  27.067	    6.430000	         	            	 477.470	 "Base SameAsMain"
